id,SMILES,Tm
17662,BrB(Br)Br,227.14999999999998
6966,O=S(c1ccccc1)c1ccccc1,344.15
223,CCCCCCCCCCS(=O)(=O)Cl,305.15
22549,N#CC(Nc1nc(NC2CC2)nc(n1)Cl)(C)C,443.15
15621,Nc1ccc(cc1)c1ccc(cc1)N,401.15
17723,CCCCCCCC(=O)NO,351.9
8280,Oc1cc(O)cc(c1)O,491.15
848,NCCN1CCNCC1,254.14999999999998
5665,Clc1cc(Cl)c2c(c1O)nccc2,454.15
20287,CCC(CC1=c2ccccc2=N[CH]1)N,370.15
17348,COc1ccc(cc1)N(C(=O)c1ccc(cc1)Cl)CCCC(=O)O,388.65
4062,COc1cccc(c1)O,255.14999999999998
2494,Clc1ccccn1,227.14999999999998
26068,OCCCCSc1ccc(cc1F)S(=O)(=O)N,377.15
18886,CCCCCCCCC(C(=O)O)C(=O)O,389.15
18601,CCC(=O)NC,242.24999999999997
6659,O=C([C@@H]1CCCC[C@@H]1C(=O)O)OC(=O)[C@H]1CCCC[C@H]1C(=O)O,307.15
24963,OC1CCC2(C(C1)CCC1C2CCC2(C31OC3CC2c1ccc(=O)oc1)C)C,428.15
2524,N#Cc1ccccc1C(=O)O,484.15
28563,OC(=O)CC1=C(C)/C(=C/c2ccc(cc2)S(=O)C)/c2c1cc(F)cc2,456.65
5887,CCOc1ccc2c(c1)nc([nH]2)S,522.15
3110,OC(=O)CCc1ccc(c(c1)F)F,324.15
14245,CCCCCC=CBr,175.14999999999998
7600,COC(=O)c1ccc(cc1)Cl,316.15
1074,FC(c1ccc2c(c1)Nc1c(S2)cccc1)(F)F,462.15
5201,OC(=O)c1ccc(c(c1)C(F)(F)F)O,419.15
18431,O=C1c2ccccc2C(=O)c2c1ccc(c2N)N,563.15
21512,COc1cc(cc(c1O)OC)C1C2C(=O)OCC2C(c2c1cc1OCOc1c2)OC1OC2COC(OC2C(C1O)O)c1cccs1,517.15
1579,Brc1ccc(c(c1)N)Br,327.15
4113,Cc1nocc1C(=O)O,459.15
10897,O=C1CCc2c1c(C)c(C)c(c2C)C,427.15
1171,OC(=O)C=Cc1c(F)c(F)c(c(c1F)F)F,426.15
9739,COC(=O)C(=Cc1ccc(cc1)[N+](=O)[O-])c1ccccc1C(=O)OC,394.15
6682,CN(c1ccc(cc1)C1(OC(=O)c2c1ccc(c2)N(C)C)c1ccc(cc1)N(C)C)C,455.15
12408,CC1=CC(c2c1cccc2)c1ccccc1,334.15
5373,Cc1ccc(c(c1)[N+](=O)[O-])N,390.15
27302,O=C[C]1N=CC=C1COC(=O)C,333.15
11915,CC(COC(=O)C1=C(C)NC(=O)NC1c1ccc2c(c1)OCO2)C,451.15
1611,Clc1ccc(cn1)Cl,334.15
5989,N#Cc1cc(C)cc(c1)C#N,437.15
15557,c1ccc2c(c1)Oc1c(C2)cccc1,374.15
8716,CCCCC(=O)N,376.15
14646,CC(c1cc(C(C)C)c(cc1C(C)C)C(C)C)C,392.15
26351,CCCCCCCCCCCCCCCC(=O)OCC(C1OC(=O)C(=C1O)O)O,385.15
10849,OC(=O)c1c(C)ccc(c1O)Br,330.15
2496,OB(c1cccnc1Cl)O,433.15
12015,OCc1cc(OCc2cc(COc3cc(CO)cc(c3)CO)cc(c2)COc2cc(CO)cc(c2)CO)cc(c1)CO,417.15
3065,OCC(C(C)(C)C)CO,328.15
